manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Mazda,6,Sedan,2017,6730000,40226,"C45 , Port Harcourt",automatic,Petrol,E,Nigerian used
Honda,Odyssey,Mpv,2009,1690000,201058,"C45 , Kaduna",automatic,Petrol,D,Nigerian used
Land Rover,Range Rover Evoque,Suv,2015,6170000,53802,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Lexus,Is 250,Sedan,2006,2250000,220069,"C45 , Lagos",automatic,Petrol Electric, ,Nigerian used
Toyota,Sienna,Mpv,2002,1662000,262495,"C45 , Onitsha",automatic,Petrol,D,Nigerian used
Hyundai,Elantra,Sedan,2011,2138000,175758,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Kia,Sportage,Suv,2008,1354000,83692,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Mitsubishi,Montero,Suv,2004,1466000,173305,"C45 , Benin",automatic,Petrol, ,Nigerian used
Land Rover,Freelander,Suv,2008,3272500,101118,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Ford,Explorer,Suv,2006,1354000,199426,"C45 , Onitsha",automatic,Petrol,D,Nigerian used
Toyota,Hilux,Truck,2006,4490000,114321,"C45 , Lagos",manual,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2011,1914000,73049,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Corolla,Hatchback,2006,2474000,103949,"C45 , Kaduna",automatic,Petrol, ,Foreign used
Toyota,Camry,Sedan,2012,3706000,73463,"C45 , Akure",automatic,Petrol,C,Nigerian used
Mercedes-Benz,B200,Hatchback,2008,2586000,157873,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Toyota,Sienna,Hatchback,2000,1018000,224476,"C45 , Asaba",automatic,Petrol, ,Nigerian used
Toyota,Sienna,Mpv,2010,5274000,163027,"C45 , Lagos",automatic,Petrol,C,Foreign used
BMW,3 Series,Sedan,2006,1018000,203182,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Toyota,Sequoia,Suv,2002,2810000,138416,C45,automatic,Petrol,C,Foreign used
Honda,Accord,Sedan,2008,1802000,82284,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Hyundai,Entourage,Hatchback,2008,1634000,80971,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Nissan,Rogue,Suv,2008,2026000,117210,"C45 , Ilorin",automatic,Petrol,C,Foreign used
Toyota,Sienna,Convertible,2003,1466000,159956,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Odyssey,Suv,2005,2474000,209578,"C45 , Lagos",automatic,Petrol,C,Foreign used
Kia,Sportage,Suv,2008,1354000,85140,"C45 , Benin",automatic,Petrol, ,Nigerian used
Mercedes-Benz,Cls550,Sedan,2010,6170000,171674,"C45 , Lagos",automatic,Petrol,C,Foreign used
Toyota,Sienna,Mpv,2001,1130000,237519,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Toyota,Camry,Sedan,2007,2586000,109502,"C45 , Kaduna",automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014,5050000,45641,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Mercedes-Benz,Ml500,Suv,2006,2810000,0,"C45 , Asaba",automatic,Petrol,D,Nigerian used
